Tourist ID,Age,Age_Group,Site Name,Sites Visited,city,country,Continent,state,region,Interests,Number_of_Interests,Accessibility,Preferred Tour Duration,Tour Duration,matched_destination,Type,Best Season,UNESCO Site,avg_cost_usd,Cost_Category,budget_level,Tourist Rating,Satisfaction,Avg Rating,Recommendation Accuracy,VR Experience Quality,culture,adventure,nature,beaches,nightlife,cuisine,wellness,urban,seclusion,overall_experience_score,yearly_avg_temp,climate_classification
1,48,46-55,Sky Tower,Sky Tower,Auckland,New Zealand,Oceania,Auckland,North Island,"['Architecture', 'Art', 'History']",3,False,5,7,,Cultural,Summer,False,185.9123075372713,,Mid-range,1.6,3,4.720672838923858,97,4.5,4.0,4.5,4.8,4.852500171290618,3.75103603606545,3.934589324963377,3.0382617668571577,3.925231798159412,2.0867699056177647,4.0,15.0,Temperate
1,48,46-55,Casa Batlló,Casa Batlló,Barcelona,Spain,Europe,Catalonia,Southern Europe,"['Architecture', 'Art', 'History']",3,False,5,7,,Cultural,Spring,False,171.9025668223672,,Mid-range,1.6,3,3.590272796851768,97,4.5,4.8,3.0,3.5,3.297625195187136,2.799221789020445,4.857044863730804,4.143854537668736,4.931663078297738,3.398219683119164,4.8,16.0,Temperate
1,48,46-55,Universal Studios,Universal Studios,Los Angeles,United States,North America,California,West Coast USA,"['Architecture', 'Art', 'History']",3,False,5,7,,Cultural,Winter,False,281.40345210526334,,Luxury,1.6,3,3.732536983113065,97,4.5,4.3,3.5,3.8,1.922921885606248,3.592649339830037,3.4025844441399613,2.3194591145538697,3.233109747603725,3.9423094389168463,4.3,18.0,Warm
2,37,36-45,Old Town Square,Old Town Square,Prague,Czech Republic,Europe,Prague,Central Europe,"['Cultural', 'Nature']",2,False,6,1,,Cultural,Spring,False,96.47854602045504,,Budget,2.6,3,4.363880537311223,90,4.5,4.6,2.5,3.0,4.822208966125015,4.266780323869174,3.2568604076455854,2.199837191646264,3.486778572014381,1.6392959541673542,4.6,9.5,Temperate
2,37,36-45,Prague Castle,Prague Castle,Prague,Czech Republic,Europe,Prague,Central Europe,"['Cultural', 'Nature']",2,False,6,1,,Cultural,Winter,False,99.9088583039164,,Budget,2.6,3,4.1841178888563935,90,4.5,4.6,2.5,3.0,1.8256464619237525,4.477469347256459,3.774670972834232,2.138870990276549,4.006648304958305,1.7719437573571513,4.6,9.5,Temperate
2,37,36-45,Palm Jumeirah,Palm Jumeirah,Dubai,United Arab Emirates,Asia,Dubai,Middle East,"['Cultural', 'Nature']",2,False,6,1,,Cultural,Summer,False,329.62028236205765,,Luxury,2.6,3,4.0237272136530855,90,4.5,3.8,4.5,2.5,1.814058844475468,4.765356545119015,4.23149724592376,4.641164476636304,4.070387473376423,3.5217719617072847,3.8,27.0,Warm
2,37,36-45,Burj Khalifa,Burj Khalifa,Dubai,United Arab Emirates,Asia,Dubai,Middle East,"['Cultural', 'Nature']",2,False,6,1,,Cultural,Summer,True,320.60666329300875,,Luxury,2.6,3,3.760835718793949,90,4.5,3.8,4.5,2.5,1.587418997411437,4.321263448154523,3.590830649149985,4.807557717446404,3.464640943460299,1.3990608878206234,3.8,27.0,Warm
3,43,36-45,Christ the Redeemer,Christ the Redeemer,Rio de Janeiro,Brazil,South America,Rio de Janeiro,Southeast Brazil,"['History', 'Art', 'Architecture']",3,True,6,2,,Cultural,Summer,False,159.24304308297835,,Mid-range,1.7,3,3.66157485504441,94,4.7,4.5,4.0,4.5,4.943196749748841,2.043594737031816,4.992600597285468,2.449586137922844,3.878952672121909,1.3024228604313683,4.5,23.5,Warm
3,43,36-45,Smithsonian Museums,Smithsonian Museums,Washington DC,United States,North America,District of Columbia,Northeast USA,"['History', 'Art', 'Architecture']",3,True,6,2,,Cultural,Autumn,True,247.87245066053384,,Mid-range,1.7,3,4.729522932394277,94,4.7,4.7,2.5,3.2,1.449921052965753,4.126184384528376,3.3833782155286105,3.980080270119884,4.897368255407085,2.7917329159222075,4.7,13.5,Temperate
3,43,36-45,Capitol Building,Capitol Building,Washington DC,United States,North America,District of Columbia,Northeast USA,"['History', 'Art', 'Architecture']",3,True,6,2,,Cultural,Autumn,True,202.63064982620008,,Mid-range,1.7,3,4.213312989851026,94,4.7,4.7,2.5,3.2,2.3728916350747347,3.2505465573710857,3.41775252719072,3.9817771088367215,4.660609642599656,3.3571445682406784,4.7,13.5,Temperate
3,43,36-45,Grand Palace,Grand Palace,Bangkok,Thailand,Asia,Bangkok,Southeast Asia,"['History', 'Art', 'Architecture']",3,True,6,2,,Cultural,Spring,True,99.6302823261445,,Budget,1.7,3,4.111600496636758,94,4.7,4.5,3.8,3.0,1.5263355716598652,3.292746832433487,4.109745887524991,4.815797316772503,4.946573556742777,2.134413066256577,4.5,28.5,Warm
3,43,36-45,Wat Arun,Wat Arun,Bangkok,Thailand,Asia,Bangkok,Southeast Asia,"['History', 'Art', 'Architecture']",3,True,6,2,,Cultural,Spring,True,57.68004200420447,,Budget,1.7,3,3.620665479564611,94,4.7,4.5,3.8,3.0,4.975574985580479,4.35055703503969,4.074303955588347,2.187947362478728,4.881843590077108,2.5016367340438954,4.5,28.5,Warm
4,46,46-55,Chinatown,Chinatown,Singapore,Singapore,Asia,Singapore,Southeast Asia,"['Cultural', 'Art', 'Architecture']",3,False,8,5,,Cultural,Autumn,True,210.28254150250416,,Luxury,2.0,3,4.100296174286012,92,4.7,4.3,3.2,4.0,1.876328087875382,3.536966297083403,3.0721262726510865,2.4826281689051304,4.867520489565082,1.1321619042888682,4.3,27.5,Warm
4,46,46-55,Bukchon Hanok Village,Bukchon Hanok Village,Seoul,South Korea,Asia,Seoul,East Asia,"['Cultural', 'Art', 'Architecture']",3,False,8,5,,Cultural,Spring,False,185.81425167072769,,Mid-range,2.0,3,4.145673736898807,92,4.7,4.5,3.2,3.5,4.371322370806478,2.1577155786437165,3.667114949929896,2.4534071529496413,4.288657314746681,1.7643746360259314,4.5,12.5,Temperate
4,46,46-55,N Seoul Tower,N Seoul Tower,Seoul,South Korea,Asia,Seoul,East Asia,"['Cultural', 'Art', 'Architecture']",3,False,8,5,,Cultural,Spring,False,138.57472236993604,,Mid-range,2.0,3,3.772936319420937,92,4.7,4.5,3.2,3.5,1.471879589787661,4.078437140005839,4.130581823432121,4.204382653641474,4.087626392089626,2.923443824739076,4.5,12.5,Temperate
5,53,46-55,Tomb of Itimad-ud-Daulah,Tomb of Itimad-ud-Daulah,Agra,India,Asia,Uttar Pradesh,South Asia,"['Architecture', 'Art']",2,True,5,7,,Cultural,Summer,True,44.32389921479974,,Budget,3.7,4,4.575179925187592,96,4.8,5.0,2.5,2.5,3.956514329639852,2.4891819794621517,4.147631377424865,2.780108491381506,4.555596618465379,3.458303475257289,5.0,25.0,Warm
