record_id,dataset_version,record_status,last_validated,Tourist ID,Age,Age_Group,current_site,Site Name,Sites Visited,city,country,Continent,region,Interests,Number_of_Interests,Accessibility,Preferred Tour Duration,Tour Duration,matched_destination,Type,Best Season,UNESCO Site,avg_cost_usd,Cost_Category,budget_level,Tourist Rating,Satisfaction,Avg Rating,Recommendation Accuracy,VR Experience Quality,culture,adventure,nature,beaches,nightlife,cuisine,wellness,urban,seclusion,overall_experience_score,yearly_avg_temp,climate_classification,Popularity_Category,Route ID,System Response Time
REC-00001-6e5a907e-000000,v1.0,active,2026-01-31,1,48,46-55,Eiffel Tower,Eiffel Tower,"['Eiffel Tower', 'Great Wall of China', 'Taj Mahal']",Paris,France,,europe,"['Architecture', 'Art', 'History']",3,False,5,7,,,,,340.30319243960946,,Luxury,1.6,3,,97,4.5,5.0,2.0,3.0,1.0,5.0,5.0,4.0,5.0,2.0,3.555555555555556,13.266666666666666,Temperate,,1000,3.73
REC-00001-a40279d9-000001,v1.0,active,2026-01-31,1,48,46-55,Great Wall of China,Eiffel Tower,"['Eiffel Tower', 'Great Wall of China', 'Taj Mahal']",Beijing,China,,asia,"['Architecture', 'Art', 'History']",3,False,5,7,,,,,340.30319243960946,,Mid-range,1.6,3,,97,4.5,5.0,3.0,3.0,1.0,4.0,5.0,3.0,5.0,2.0,3.4444444444444446,13.475,Temperate,,1000,3.73
REC-00001-3e801283-000002,v1.0,active,2026-01-31,1,48,46-55,Taj Mahal,Eiffel Tower,"['Eiffel Tower', 'Great Wall of China', 'Taj Mahal']",Agra,India,,,"['Architecture', 'Art', 'History']",3,False,5,7,,,,,340.30319243960946,,,1.6,3,,97,4.5,,,,,,,,,,,,,,1000,3.73
REC-00002-a40279d9-000003,v1.0,active,2026-01-31,2,37,36-45,Great Wall of China,Colosseum,['Great Wall of China'],Beijing,China,,asia,"['Cultural', 'Nature']",2,False,6,1,,,,,111.4375558761939,,Mid-range,2.6,3,,90,4.5,5.0,3.0,3.0,1.0,4.0,5.0,3.0,5.0,2.0,3.4444444444444446,13.475,Temperate,,2000,2.89
REC-00003-6e5a907e-000004,v1.0,active,2026-01-31,3,43,36-45,Eiffel Tower,Machu Picchu,['Eiffel Tower'],Paris,France,,europe,"['History', 'Art', 'Architecture']",3,True,6,2,,,,,150.0,,Luxury,1.7,3,,94,4.7,5.0,2.0,3.0,1.0,5.0,5.0,4.0,5.0,2.0,3.555555555555556,13.266666666666666,Temperate,,3000,2.22
REC-00004-cbbc03fb-000005,v1.0,active,2026-01-31,4,46,46-55,Machu Picchu,Colosseum,"['Machu Picchu', 'Taj Mahal']",Cusco,Peru,,,"['Cultural', 'Art', 'Architecture']",3,False,8,5,,,,,151.21371049275342,,,2.0,3,,92,4.7,,,,,,,,,,,,,,4000,2.34
REC-00004-3e801283-000006,v1.0,active,2026-01-31,4,46,46-55,Taj Mahal,Colosseum,"['Machu Picchu', 'Taj Mahal']",Agra,India,,,"['Cultural', 'Art', 'Architecture']",3,False,8,5,,,,,151.21371049275342,,,2.0,3,,92,4.7,,,,,,,,,,,,,,4000,2.34
REC-00005-cbbc03fb-000007,v1.0,active,2026-01-31,5,53,46-55,Machu Picchu,Colosseum,"['Machu Picchu', 'Taj Mahal', 'Great Wall of China']",Cusco,Peru,,,"['Architecture', 'Art']",2,True,5,7,,,,,115.32594176821851,,,3.7,4,,96,4.8,,,,,,,,,,,,,,5000,2.0
REC-00005-3e801283-000008,v1.0,active,2026-01-31,5,53,46-55,Taj Mahal,Colosseum,"['Machu Picchu', 'Taj Mahal', 'Great Wall of China']",Agra,India,,,"['Architecture', 'Art']",2,True,5,7,,,,,115.32594176821851,,,3.7,4,,96,4.8,,,,,,,,,,,,,,5000,2.0
REC-00005-a40279d9-000009,v1.0,active,2026-01-31,5,53,46-55,Great Wall of China,Colosseum,"['Machu Picchu', 'Taj Mahal', 'Great Wall of China']",Beijing,China,,asia,"['Architecture', 'Art']",2,True,5,7,,,,,115.32594176821851,,Mid-range,3.7,4,,96,4.8,5.0,3.0,3.0,1.0,4.0,5.0,3.0,5.0,2.0,3.4444444444444446,13.475,Temperate,,5000,2.0
REC-00006-a40279d9-000010,v1.0,active,2026-01-31,6,50,46-55,Great Wall of China,Machu Picchu,"['Great Wall of China', 'Eiffel Tower', 'Colosseum']",Beijing,China,,asia,"['Architecture', 'History', 'Cultural']",3,False,4,4,,,,,150.0,,Mid-range,2.2,3,,99,4.5,5.0,3.0,3.0,1.0,4.0,5.0,3.0,5.0,2.0,3.4444444444444446,13.475,Temperate,,6000,3.74
REC-00006-6e5a907e-000011,v1.0,active,2026-01-31,6,50,46-55,Eiffel Tower,Machu Picchu,"['Great Wall of China', 'Eiffel Tower', 'Colosseum']",Paris,France,,europe,"['Architecture', 'History', 'Cultural']",3,False,4,4,,,,,150.0,,Luxury,2.2,3,,99,4.5,5.0,2.0,3.0,1.0,5.0,5.0,4.0,5.0,2.0,3.555555555555556,13.266666666666666,Temperate,,6000,3.74
REC-00006-baaadf4e-000012,v1.0,active,2026-01-31,6,50,46-55,Colosseum,Machu Picchu,"['Great Wall of China', 'Eiffel Tower', 'Colosseum']",Rome,Italy,,europe,"['Architecture', 'History', 'Cultural']",3,False,4,4,,,,,150.0,,Mid-range,2.2,3,,99,4.5,5.0,3.0,3.0,2.0,4.0,5.0,3.0,5.0,2.0,3.555555555555556,16.633333333333333,Temperate,,6000,3.74
REC-00007-6e5a907e-000013,v1.0,active,2026-01-31,7,61,55+,Eiffel Tower,Eiffel Tower,"['Eiffel Tower', 'Colosseum', 'Taj Mahal']",Paris,France,,europe,"['Architecture', 'History']",2,False,7,6,,,,,282.7324781404915,,Luxury,4.1,4,,93,4.5,5.0,2.0,3.0,1.0,5.0,5.0,4.0,5.0,2.0,3.555555555555556,13.266666666666666,Temperate,,7000,4.66
REC-00007-baaadf4e-000014,v1.0,active,2026-01-31,7,61,55+,Colosseum,Eiffel Tower,"['Eiffel Tower', 'Colosseum', 'Taj Mahal']",Rome,Italy,,europe,"['Architecture', 'History']",2,False,7,6,,,,,282.7324781404915,,Mid-range,4.1,4,,93,4.5,5.0,3.0,3.0,2.0,4.0,5.0,3.0,5.0,2.0,3.555555555555556,16.633333333333333,Temperate,,7000,4.66
REC-00007-3e801283-000015,v1.0,active,2026-01-31,7,61,55+,Taj Mahal,Eiffel Tower,"['Eiffel Tower', 'Colosseum', 'Taj Mahal']",Agra,India,,,"['Architecture', 'History']",2,False,7,6,,,,,282.7324781404915,,,4.1,4,,93,4.5,,,,,,,,,,,,,,7000,4.66
REC-00008-baaadf4e-000016,v1.0,active,2026-01-31,8,23,18-25,Colosseum,Eiffel Tower,['Colosseum'],Rome,Italy,,europe,"['Cultural', 'Architecture']",2,False,5,2,,,,,215.73709563663408,,Mid-range,2.8,3,,91,4.9,5.0,3.0,3.0,2.0,4.0,5.0,3.0,5.0,2.0,3.555555555555556,16.633333333333333,Temperate,,8000,4.84
REC-00009-a40279d9-000017,v1.0,active,2026-01-31,9,34,26-35,Great Wall of China,Colosseum,"['Great Wall of China', 'Eiffel Tower', 'Colosseum']",Beijing,China,,asia,"['Cultural', 'Art']",2,True,5,6,,,,,105.25739246760436,,Mid-range,4.0,4,,95,4.4,5.0,3.0,3.0,1.0,4.0,5.0,3.0,5.0,2.0,3.4444444444444446,13.475,Temperate,,9000,1.54
REC-00009-6e5a907e-000018,v1.0,active,2026-01-31,9,34,26-35,Eiffel Tower,Colosseum,"['Great Wall of China', 'Eiffel Tower', 'Colosseum']",Paris,France,,europe,"['Cultural', 'Art']",2,True,5,6,,,,,105.25739246760436,,Luxury,4.0,4,,95,4.4,5.0,2.0,3.0,1.0,5.0,5.0,4.0,5.0,2.0,3.555555555555556,13.266666666666666,Temperate,,9000,1.54
REC-00009-baaadf4e-000019,v1.0,active,2026-01-31,9,34,26-35,Colosseum,Colosseum,"['Great Wall of China', 'Eiffel Tower', 'Colosseum']",Rome,Italy,,europe,"['Cultural', 'Art']",2,True,5,6,,,,,105.25739246760436,,Mid-range,4.0,4,,95,4.4,5.0,3.0,3.0,2.0,4.0,5.0,3.0,5.0,2.0,3.555555555555556,16.633333333333333,Temperate,,9000,1.54
REC-00010-baaadf4e-000020,v1.0,active,2026-01-31,10,61,55+,Colosseum,Colosseum,"['Colosseum', 'Taj Mahal', 'Machu Picchu']",Rome,Italy,,europe,"['Nature', 'Architecture']",2,False,5,6,,,,,164.02750728581177,,Mid-range,3.8,4,,95,4.7,5.0,3.0,3.0,2.0,4.0,5.0,3.0,5.0,2.0,3.555555555555556,16.633333333333333,Temperate,,10000,3.59
REC-00010-3e801283-000021,v1.0,active,2026-01-31,10,61,55+,Taj Mahal,Colosseum,"['Colosseum', 'Taj Mahal', 'Machu Picchu']",Agra,India,,,"['Nature', 'Architecture']",2,False,5,6,,,,,164.02750728581177,,,3.8,4,,95,4.7,,,,,,,,,,,,,,10000,3.59
REC-00010-cbbc03fb-000022,v1.0,active,2026-01-31,10,61,55+,Machu Picchu,Colosseum,"['Colosseum', 'Taj Mahal', 'Machu Picchu']",Cusco,Peru,,,"['Nature', 'Architecture']",2,False,5,6,,,,,164.02750728581177,,,3.8,4,,95,4.7,,,,,,,,,,,,,,10000,3.59
REC-00011-cbbc03fb-000023,v1.0,active,2026-01-31,11,27,26-35,Machu Picchu,Eiffel Tower,"['Machu Picchu', 'Colosseum', 'Taj Mahal']",Cusco,Peru,,,"['Nature', 'Architecture']",2,False,4,6,,,,,389.256389987752,,,3.2,3,,99,4.2,,,,,,,,,,,,,,11000,4.48
REC-00011-baaadf4e-000024,v1.0,active,2026-01-31,11,27,26-35,Colosseum,Eiffel Tower,"['Machu Picchu', 'Colosseum', 'Taj Mahal']",Rome,Italy,,europe,"['Nature', 'Architecture']",2,False,4,6,,,,,389.256389987752,,Mid-range,3.2,3,,99,4.2,5.0,3.0,3.0,2.0,4.0,5.0,3.0,5.0,2.0,3.555555555555556,16.633333333333333,Temperate,,11000,4.48
REC-00011-3e801283-000025,v1.0,active,2026-01-31,11,27,26-35,Taj Mahal,Eiffel Tower,"['Machu Picchu', 'Colosseum', 'Taj Mahal']",Agra,India,,,"['Nature', 'Architecture']",2,False,4,6,,,,,389.256389987752,,,3.2,3,,99,4.2,,,,,,,,,,,,,,11000,4.48
REC-00012-baaadf4e-000026,v1.0,active,2026-01-31,12,37,36-45,Colosseum,Eiffel Tower,"['Colosseum', 'Machu Picchu']",Rome,Italy,,europe,['Cultural'],1,True,3,5,,,,,220.89114559988897,,Mid-range,1.7,3,,100,4.6,5.0,3.0,3.0,2.0,4.0,5.0,3.0,5.0,2.0,3.555555555555556,16.633333333333333,Temperate,,12000,2.63
REC-00012-cbbc03fb-000027,v1.0,active,2026-01-31,12,37,36-45,Machu Picchu,Eiffel Tower,"['Colosseum', 'Machu Picchu']",Cusco,Peru,,,['Cultural'],1,True,3,5,,,,,220.89114559988897,,,1.7,3,,100,4.6,,,,,,,,,,,,,,12000,2.63
